epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1178.71,0.8125,0.49495,1.00757,0.88442,0.8674,0.91572,0.66046,0.92705,0.51694,1.18221,0.000429068,0.000429068,0.000429068
64,2336.9,0.81645,0.49074,1.01513,0.89107,0.86401,0.91854,0.67287,0.91329,0.51124,1.17351,0.000418069,0.000418069,0.000418069
65,3506.29,0.81029,0.48221,1.01098,0.9004,0.86016,0.91582,0.66909,0.92158,0.50718,1.17992,0.00040707,0.00040707,0.00040707
66,4644.83,0.80715,0.47824,1.01022,0.90081,0.85478,0.91732,0.6708,0.91506,0.50978,1.17918,0.000396071,0.000396071,0.000396071
67,5806.69,0.81191,0.48205,1.01116,0.88657,0.86656,0.91417,0.67148,0.91483,0.5107,1.17516,0.000385073,0.000385073,0.000385073
68,6962.51,0.79768,0.47532,1.00478,0.89485,0.86532,0.91366,0.67176,0.91141,0.50005,1.17529,0.000374074,0.000374074,0.000374074
69,8151.86,0.80245,0.47477,1.00759,0.89581,0.86547,0.91962,0.67107,0.91281,0.49906,1.17979,0.000363075,0.000363075,0.000363075
70,9285.4,0.7962,0.4697,1.00318,0.88756,0.86487,0.91784,0.67387,0.90645,0.50203,1.1725,0.000352076,0.000352076,0.000352076
71,10433.3,0.79151,0.47253,1.00246,0.8873,0.87035,0.91756,0.67518,0.90467,0.50312,1.1687,0.000341077,0.000341077,0.000341077
72,11579.3,0.78658,0.4665,1.00529,0.90583,0.85161,0.91666,0.66915,0.91017,0.50597,1.17546,0.000330078,0.000330078,0.000330078
73,12780.4,0.78395,0.45911,0.9983,0.90081,0.86012,0.91891,0.67018,0.91115,0.50706,1.17632,0.000319079,0.000319079,0.000319079
74,13929.7,0.78731,0.46243,0.99891,0.89896,0.85806,0.91463,0.66994,0.9095,0.50431,1.17457,0.00030808,0.00030808,0.00030808
75,15007.8,0.78255,0.45929,1.00095,0.89019,0.87172,0.9166,0.67337,0.91183,0.5,1.17557,0.000297081,0.000297081,0.000297081
76,16159.4,0.78235,0.45845,0.9969,0.89621,0.85353,0.91372,0.67335,0.90873,0.50006,1.17605,0.000286083,0.000286083,0.000286083
77,17312.9,0.77782,0.45288,0.999,0.89367,0.8599,0.91487,0.67406,0.90555,0.49857,1.17521,0.000275084,0.000275084,0.000275084
78,18468.5,0.77614,0.45164,0.98965,0.89457,0.866,0.91763,0.66911,0.91128,0.4997,1.17723,0.000264085,0.000264085,0.000264085
79,19604,0.79416,0.46695,1.00338,0.89419,0.86925,0.91843,0.67588,0.90086,0.49787,1.17127,0.000253086,0.000253086,0.000253086
80,20754,0.78875,0.45973,1.00061,0.89553,0.86694,0.91764,0.67559,0.90208,0.50287,1.16862,0.000242087,0.000242087,0.000242087
81,21936.8,0.785,0.46073,0.99725,0.89655,0.86273,0.91686,0.67682,0.90022,0.4984,1.1705,0.000231088,0.000231088,0.000231088
82,23068.8,0.77913,0.45887,0.99804,0.90687,0.85436,0.91631,0.67502,0.90328,0.49958,1.17338,0.000220089,0.000220089,0.000220089
83,24152.1,0.77764,0.45647,0.99937,0.88783,0.86972,0.91683,0.67538,0.89882,0.495,1.17099,0.00020909,0.00020909,0.00020909
84,25212.7,0.77469,0.44969,0.99183,0.90277,0.86313,0.91903,0.67625,0.89943,0.49196,1.16779,0.000198091,0.000198091,0.000198091
85,26354.7,0.77291,0.45151,0.99462,0.90898,0.85365,0.91908,0.67929,0.89361,0.49341,1.16598,0.000187092,0.000187092,0.000187092
86,27509.2,0.76985,0.44685,0.98768,0.91069,0.85552,0.91815,0.6784,0.89554,0.49054,1.16778,0.000176094,0.000176094,0.000176094
87,28572.7,0.76982,0.44567,0.99257,0.8966,0.86713,0.91922,0.67729,0.89735,0.49535,1.16923,0.000165095,0.000165095,0.000165095
88,29670.7,0.76832,0.446,0.99227,0.89889,0.86584,0.91859,0.67845,0.89875,0.49644,1.168,0.000154096,0.000154096,0.000154096
89,30831.6,0.75826,0.44046,0.98516,0.90056,0.86409,0.91805,0.6775,0.89871,0.49628,1.16794,0.000143097,0.000143097,0.000143097
90,31999.2,0.76403,0.44141,0.99049,0.88809,0.87322,0.91722,0.67809,0.89707,0.49597,1.16811,0.000132098,0.000132098,0.000132098
91,33117.4,0.72478,0.37917,0.97134,0.89198,0.86681,0.91523,0.67372,0.90238,0.49591,1.17216,0.000121099,0.000121099,0.000121099
92,34189,0.70943,0.36961,0.96359,0.89356,0.86343,0.91601,0.67424,0.89994,0.49678,1.17125,0.0001101,0.0001101,0.0001101
93,35319.9,0.70644,0.36371,0.96628,0.88012,0.87535,0.91565,0.67643,0.8971,0.49536,1.17061,9.91012e-05,9.91012e-05,9.91012e-05
94,36506.1,0.70293,0.36138,0.96526,0.88499,0.8739,0.91677,0.67621,0.89459,0.49467,1.16874,8.81023e-05,8.81023e-05,8.81023e-05
95,37670.9,0.70035,0.35864,0.96531,0.88481,0.86799,0.91503,0.67583,0.89557,0.4937,1.16984,7.71034e-05,7.71034e-05,7.71034e-05
96,38764.1,0.69209,0.35251,0.95979,0.89842,0.85745,0.91691,0.67682,0.89741,0.49262,1.16996,6.61045e-05,6.61045e-05,6.61045e-05
